"scenario","time","phase","step","turnWeight","leftReason","rightReason","leftContact","rightContact","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection"
"right-180","0.058803558349609375","1.546761155128479","True","0","1","1","0","0","0.0583617240190506","0.03499642014503479","0.06819231808185577","0.026249215006828308","0","0.06216100975871086"
"right-180","0.072174072265625","1.5536175966262817","True","0","1","1","0","0","0.040592651814222336","0.03499642387032509","0.05153333395719528","0.0279505904763937","0","0.0551876574754715"
"right-180","0.08440971374511719","1.5598924160003662","True","0","1","1","0","0","0.03499642387032509","0.03499642014503479","0.04235124588012695","0.024532578885555267","0.013133924454450607","0.046440452337265015"
"right-180","0.09790229797363281","1.5668118000030518","True","0","1","1","0","0","0.03499642387032509","0.034992605447769165","0.03719371557235718","0.027553856372833252","0.03224960342049599","0.03905510902404785"
"right-180","0.11128997802734375","1.5736771821975708","True","0","1","1","0","0","0.035000238567590714","0.03499642014503479","0.03228795528411865","0.032219287008047104","0.04671892523765564","0.02552802860736847"
"right-180","0.1490612030029297","0.1020151898264885","True","1","1","1","0","0","0.04033324867486954","0.035000234842300415","0.024723319336771965","0.037544671446084976","0.045376136898994446","0.003474995493888855"
"right-180","0.16269302368164062","0.11520667374134064","True","1","1","1","0","0","0.042896755039691925","0.035000234842300415","0.02597455494105816","0.0379299595952034","0.040436044335365295","0.00038505345582962036"
"right-180","0.17461204528808594","0.12674032151699066","True","1","1","1","0","0","0.04441502317786217","0.03658335283398628","0.027221975848078728","0.04054687172174454","0.03512973710894585","0"
"right-180","0.18738174438476562","0.13909867405891418","True","1","1","1","0","0","0.04555944725871086","0.03878064826130867","0.028721170499920845","0.04257631674408913","0.028473008424043655","0"
"right-180","0.20002365112304688","0.15133237838745117","True","1","1","1","0","0","0.04652839154005051","0.03999755159020424","0.030174586921930313","0.0434270054101944","0.021873503923416138","0"
"right-180","0.21449851989746094","0.165341317653656","True","1","1","1","0","0","0.047646112740039825","0.04182862862944603","0.03047213703393936","0.044987235218286514","0.02053452655673027","0"
"right-180","0.2527141571044922","0.2023240476846695","True","1","2","1","0.17000000178813934","0","0.022281883284449577","0.0432744137942791","0.007934631779789925","0.04547933489084244","0","0"
"right-180","0.2691936492919922","0.21827243268489838","True","1","3","1","0.3400000035762787","0","0.022182699292898178","0.04370929300785065","0.00971230212599039","0.04564337059855461","0","0"
"right-180","0.2834053039550781","0.23202472925186157","True","1","3","1","0.5099999904632568","0","0.024997979402542114","0.04363299906253815","0.0126878023147583","0.045162711292505264","0","0"
"right-180","0.29779624938964844","0.2459522783756256","True","1","3","1","0.6800000071525574","0","0.028415989130735397","0.0435490757226944","0.017921630293130875","0.04463627561926842","0","0"
"right-180","0.3103466033935547","0.25809618830680847","True","1","3","1","0.8500000238418579","0","0.03216206654906273","0.043846625834703445","0.024746205657720566","0.04469349980354309","0","0"
"right-180","0.3223915100097656","0.2697542905807495","True","1","3","1","1","0","0.035023126751184464","0.04374362900853157","0.03071627952158451","0.044136546552181244","0","0"
"right-180","0.3577423095703125","0.30396443605422974","True","1","3","1","1","0","0.035023126751184464","0.04407932609319687","0.03435554727911949","0.0434575229883194","0","0"
"right-180","0.37105369567871094","0.3168465197086334","True","1","3","1","1","0","0.03501931205391884","0.04448750242590904","0.03503456711769104","0.04372074082493782","0","0"
"right-180","0.38179779052734375","0.3272436559200287","True","1","3","1","1","0","0.03501931205391884","0.044865161180496216","0.03537789732217789","0.043777961283922195","0","0"
"right-180","0.3928985595703125","0.33798521757125854","True","1","1","1","0","0","0.03499642387032509","0.04525044932961464","0.043102752417325974","0.043785590678453445","0.020938890054821968","0"
"right-180","0.40380287170410156","0.34853777289390564","True","1","1","1","0","0","0.03499642014503479","0.045662444084882736","0.04259157553315163","0.04404117912054062","0.020866410806775093","0"
"right-180","0.4136924743652344","0.3581089377403259","True","1","1","2","0","0.16483666002750397","0.035000238567590714","0.0065842121839523315","0.04204988479614258","0.00012203514052089304","0.02077867090702057","0"
"right-180","0.42522430419921875","0.36926865577697754","True","1","1","3","0","0.3348366618156433","0.03499642387032509","-0.00355156185105443","0.04100082814693451","-0.011295490898191929","0.022338900715112686","0"
"right-180","0.4596443176269531","0.4025791883468628","True","1","1","3","0","0.5048366785049438","0.03499642387032509","-0.0013351961970329285","0.0373958945274353","-0.0072709363885223866","0.03022397682070732","0"
"right-180","0.4728240966796875","0.41533392667770386","True","1","1","3","0","0.6748366951942444","0.03499642387032509","0.008968425914645195","0.03597681224346161","0.0042839208617806435","0.03442782163619995","0"
"right-180","0.4846172332763672","0.42674514651298523","True","1","1","3","0","0.8448367118835449","0.03499642387032509","0.02329278737306595","0.034786611795425415","0.020004479214549065","0.03895973786711693","0"
"right-180","0.49471282958984375","0.4365151822566986","True","1","1","3","0","1","0.03499642387032509","0.035023126751184464","0.03243672847747803","0.03335989639163017","0.04985464736819267","0"
"right-180","0.5059299468994141","0.44737082719802856","True","1","1","3","0","1","0.035000238567590714","0.035023123025894165","0.03165089339017868","0.03430976718664169","0.05340617150068283","0"
"right-180","0.5159759521484375","0.45709332823753357","True","1","1","3","0","1","0.035000238567590714","0.035023123025894165","0.031185492873191833","0.035244379192590714","0.055927716195583344","0"
"right-180","0.52691650390625","0.46768102049827576","True","1","1","3","0","1","0.03499642014503479","0.035023123025894165","0.03083072230219841","0.03635065630078316","0.05893754959106445","0"
"right-180","0.5600070953369141","0.499703586101532","True","1","1","3","0","1","0.03499642014503479","0.03501930832862854","0.030388211831450462","0.040062401443719864","0.0657850131392479","0"
"right-180","0.5721054077148438","0.5114128589630127","True","1","1","3","0","1","0.03499642014503479","0.03501931205391884","0.030418729409575462","0.041550152003765106","0.06827986240386963","0"
"right-180","0.5822582244873047","0.5212370157241821","True","1","1","3","0","1","0.03499642014503479","0.035023123025894165","0.030258510261774063","0.042896755039691925","0.07024826109409332","0"
"right-180","0.5930461883544922","0.5316766500473022","True","1","1","3","0","1","0.03499642387032509","0.03501931205391884","0.03000292181968689","0.04448368772864342","0.07264010608196259","0"
"right-180","0.6043186187744141","0.5425857305526733","True","1","1","3","0","1","0.035000234842300415","0.03501930832862854","0.02975877746939659","0.04625372961163521","0.07561179995536804","0"
"right-180","0.6145496368408203","0.5524868965148926","True","1","1","3","0","1","0.03499642014503479","0.035023123025894165","0.02992662787437439","0.047897882759571075","0.07788538187742233","0"
"right-180","0.6261539459228516","0.5637170672416687","True","1","1","3","0","1","0.035000234842300415","0.035023123025894165","0.02971300110220909","0.049858663231134415","0.08110502362251282","0"
"right-180","0.6360740661621094","0.5733180046081543","True","1","1","3","0","1","0.035000234842300415","0.035023123025894165","0.02985796146094799","0.05157911032438278","0.08375626802444458","0"
"right-180","0.6703701019287109","0.6065068244934082","True","1","1","3","0","1","0.035000234842300415","0.03501930832862854","0.028950052335858345","0.05716770887374878","0.09595200419425964","0"
"right-180","0.6814975738525391","0.6172753572463989","True","1","1","3","0","1","0.035000234842300415","0.035023123025894165","0.028511356562376022","0.05849142745137215","0.10099509358406067","0"
"right-180","0.6939239501953125","0.6293013691902161","True","1","1","3","0","1","0.03499642014503479","0.03501930832862854","0.02782851830124855","0.059284891933202744","0.10703764855861664","0"
"right-180","0.705535888671875","0.6405388712882996","True","1","1","3","0","1","0.03499642014503479","0.035023123025894165","0.02703123725950718","0.05924293026328087","0.1137973815202713","0"
"right-180","0.7158107757568359","0.6504822373390198","True","1","1","3","0","1","0.03499642014503479","0.03501930832862854","0.026443766430020332","0.05851813033223152","0.11961103975772858","0"
"right-180","0.7276172637939453","0.6619073152542114","True","1","1","3","0","1","0.03499642014503479","0.035023123025894165","0.025642670691013336","0.057102859020233154","0.12719857692718506","0"
"right-180","0.7380542755126953","0.6720069646835327","True","1","1","3","0","1","0.035000234842300415","0.035023126751184464","0.025120049715042114","0.05548159405589104","0.13317246735095978","0"
"right-180","0.7739276885986328","0.7067248225212097","True","1","1","1","0","0","0.035000234842300415","0.07061849534511566","0.027592003345489502","0.14182068407535553","0.12181214988231659","0"
"right-180","0.7869415283203125","0.7193176746368408","True","1","1","1","0","0","0.035000234842300415","0.0832834467291832","0.02879364788532257","0.15184201300144196","0.11509057879447937","0"
"right-180","0.7969799041748047","0.729032039642334","True","1","1","1","0","0","0.03499642014503479","0.09472004324197769","0.02991136908531189","0.14785179495811462","0.10864366590976715","0"
"right-180","0.8080425262451172","0.739737868309021","True","1","1","1","0","0","0.03499642014503479","0.10571413487195969","0.03102145902812481","0.15588945150375366","0.10186104476451874","0"
"right-180","0.8180522918701172","0.7494246959686279","True","1","1","1","0","0","0.03499642014503479","0.11491148173809052","0.03210103139281273","0.1492670625448227","0.09505172818899155","0"
"right-180","0.8295536041259766","0.76055508852005","True","1","1","1","0","0","0.03499642014503479","0.1241011992096901","0.033077605068683624","0.15577882528305054","0.08858191967010498","0"
"right-180","0.8405380249023438","0.7711859941482544","True","1","2","1","0.17000000178813934","0","-0.05189962312579155","0.13022387027740479","-0.04864183068275452","0.1466272622346878","0","0"
"right-180","0.8802909851074219","0.8096553683280945","True","1","3","1","0.3400000035762787","0","-0.02867164835333824","0.14237383008003235","-0.03152889013290405","0.15607257187366486","0","0"
"right-180","0.8931903839111328","0.8221389651298523","True","1","3","1","0.5099999904632568","0","-0.012394136749207973","0.14137817919254303","-0.01807810552418232","0.15394775569438934","0","0"
"right-180","0.9043617248535156","0.8329495787620544","True","1","3","1","0.6800000071525574","0","0.003932965453714132","0.1410539150238037","-0.002361362101510167","0.1524600088596344","0","0"
"right-180","0.9142208099365234","0.842490553855896","True","1","3","1","0.8443166613578796","0","0.02170966938138008","0.13785335421562195","0.016021886840462685","0.14808449149131775","0","0"
"right-180","0.9255428314208984","0.8534485697746277","True","1","3","1","1","0","0.035023123025894165","0.13569802045822144","0.030849793925881386","0.14475803077220917","0","0"
"right-180","0.9356498718261719","0.8632285594940186","True","1","3","1","1","0","0.035023123025894165","0.13050615787506104","0.03084598109126091","0.13829585909843445","0","0"
"right-180","0.9468059539794922","0.8740250468254089","True","1","3","1","1","0","0.035023123025894165","0.12699277698993683","0.03083835169672966","0.13374486565589905","0","0"
"right-180","0.9794120788574219","0.9055788516998291","True","1","3","1","1","0","0.03501931205391884","0.10937628895044327","0.030811646953225136","0.1134275496006012","0","0"
"right-180","0.9916954040527344","0.9174659252166748","True","1","3","1","1","0","0.035023123025894165","0.10349395871162415","0.030819278210401535","0.1076253205537796","0","0"
"right-180","1.001821517944336","0.9272668957710266","True","1","3","1","1","0","0.035023123025894165","0.09632605314254761","0.03082309290766716","0.10054134577512741","0","0"
"right-180","1.013132095336914","0.9382113814353943","True","1","3","1","1","0","0.035023123025894165","0.08858975023031235","0.03083072230219841","0.09302248805761337","0","0"
"right-180","1.0245723724365234","0.9492829442024231","True","1","3","1","1","0","0.03501930832862854","0.08260060846805573","0.03083834983408451","0.08768947422504425","0","0"
"right-180","1.0347614288330078","0.9591440558433533","True","1","3","1","1","0","0.03501930832862854","0.07545940577983856","0.03084598109126091","0.08092211931943893","0","0"
"right-180","1.0464973449707031","0.9705017805099487","True","1","3","1","1","0","0.035023123025894165","0.07033620774745941","0.030857425183057785","0.07640546560287476","0","0"
"right-180","1.057352066040039","0.9810047149658203","True","1","3","1","1","0","0.035023126751184464","0.06453779339790344","0.03092990443110466","0.07082449644804001","0","0"
"right-180","1.0929584503173828","1.015463948249817","True","1","3","1","1","0","0.03501930832862854","0.05547396466135979","0.029915183782577515","0.06177973747253418","0","0"
"right-180","1.1060009002685547","1.0268293619155884","False","0.7368738651275635","3","1","1","0","0.035023123025894165","0.057663626968860626","0.029255231842398643","0.06413725018501282","0","0"
"right-180","1.1171131134033203","1.0361586809158325","False","0.5892574787139893","3","1","1","0","0.03501931205391884","0.08062457293272018","0.028942422941327095","0.08704478293657303","0","0"
"right-180","1.1287117004394531","1.0455211400985718","False","0.45097869634628296","3","1","1","0","0.03501930832862854","0.06036828085780144","0.02893860824406147","0.06707841902971268","0","0"
"right-180","1.1415081024169922","1.055420994758606","False","0.31801339983940125","3","1","1","0","0.035023126751184464","0.03499642387032509","0.02924378775060177","0.039993736892938614","0","0.0011518150568008423"
"right-180","1.1553363800048828","1.0656614303588867","False","0.19681820273399353","1","1","0","0","0.03852124512195587","0.035000238567590714","0.025650300085544586","0.03330649062991142","0.03592320531606674","0.026504600420594215"
"right-180","1.1679725646972656","1.074678897857666","False","0.10486380755901337","1","1","0","0","0.03552285581827164","0.035000238567590714","0.028728798031806946","0.028286289423704147","0.023029370233416557","0.04380064830183983"
"right-180","1.2020626068115234","0.5658683180809021","False","0","1","1","0","0","0.039013344794511795","0.035000238567590714","0.044273875653743744","0.024975091218948364","0","0.06267218291759491"
"right-180","1.2153263092041016","0.5726694464683533","False","0","1","2","0","0.17000000178813934","0.05107938125729561","-0.03600740060210228","0.05570666491985321","-0.04756225645542145","0","0"
"right-180","1.2275943756103516","0.578961193561554","False","0","1","3","0","0.3400000035762787","0.0573851503431797","-0.02035932056605816","0.06270671635866165","-0.0370030477643013","0","0"
"right-180","1.2385234832763672","0.5845655202865601","False","0","1","3","0","0.5099999904632568","0.06111215427517891","-0.00761807756498456","0.0667923092842102","-0.023636184632778168","0","0"
"right-180","1.2508163452148438","0.5908700823783875","False","0","1","3","0","0.6800000071525574","0.06395413726568222","0.005123165901750326","0.06988988071680069","-0.00798429362475872","0","0"
"right-180","1.2627429962158203","0.5969863533973694","False","0","1","3","0","0.8500000238418579","0.06566314399242401","0.022320028394460678","0.07173240184783936","0.01406873855739832","0","0"
"right-180","1.2756938934326172","0.6036279201507568","False","0","1","3","0","1","0.06683045625686646","0.035023126751184464","0.0729760080575943","0.030865054577589035","0","0"
"right-180","1.3101329803466797","0.6212885975837708","False","0","3","3","0.08609575033187866","1","0.03517952933907509","0.03501931205391884","0.04094742238521576","0.03082309290766716","0","0"
"right-180","1.3216209411621094","0.6271798014640808","False","0","3","3","0.11481548845767975","1","0.0008773556328378618","0.035023126751184464","0.0015601951163262129","0.03072390891611576","0","0"
"right-180","1.3327007293701172","0.6328619718551636","False","0","3","3","0.14251598715782166","1","-0.003288345178589225","0.035023123025894165","-0.00360496761277318","0.03071627952158451","0","0"
"right-180","1.344522476196289","0.6389247179031372","False","0","3","3","0.17207174003124237","1","-0.006378287449479103","0.035023123025894165","-0.007591374218463898","0.03070865012705326","0","0"
