frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
75,5.871025,0.005584,0.01007,1.00000,0.50000,1.00000,0.00000,-0.00003,1,0,1,1785933915,1,0.064439,0.025839,-0.099924,0.108014,0.057046,0.237614,0.420492,0.000000,0.037814,-0.984617,0.170584,0.127864,-0.747733,0.651572,Stance,Swing,0.000000,0.000000
76,5.889053,0.006523,0.01015,1.00000,0.50000,1.00000,0.00000,-0.00002,1,0,1,1785933915,1,0.064148,0.026304,-0.104959,0.107419,0.055988,0.236714,0.418222,0.000000,0.034936,-0.987278,0.155117,0.123786,-0.748113,0.651924,Stance,Swing,0.000000,0.000000
77,5.907307,0.006139,0.01009,1.00000,0.50000,1.00000,0.00000,-0.00002,1,0,1,1785933915,1,0.064558,0.026583,-0.109030,0.106104,0.054296,0.235202,0.417374,0.000000,0.035251,-0.989389,0.140952,0.117703,-0.750315,0.650518,Stance,Swing,0.000000,0.000000
78,5.930445,0.006582,0.01345,1.00000,0.50000,1.00000,0.00000,-0.00001,1,0,1,1785933915,1,0.064979,0.026719,-0.112963,0.105688,0.050217,0.229725,0.415516,0.000000,0.041381,-0.991220,0.125584,0.113045,-0.759068,0.641122,Stance,Swing,0.000000,0.000000
79,5.947546,0.005892,0.02764,0.99621,0.50000,1.00000,0.00000,-0.00001,1,0,1,1785933915,1,0.067361,0.026791,-0.114176,0.103501,0.047302,0.225349,0.415185,0.000000,0.048052,-0.992132,0.115612,0.105231,-0.767458,0.632404,Stance,Swing,0.000000,0.000000
80,5.973341,0.008266,0.06673,0.96834,0.50000,1.00000,0.00000,0.00000,1,0,1,1785933915,1,0.069395,0.026750,-0.115232,0.102927,0.040600,0.214615,0.411234,0.000000,0.065086,-0.992761,0.100942,0.103392,-0.785900,0.609649,Stance,Swing,0.000000,0.000000
81,5.990954,0.005803,0.10235,0.94243,0.50000,1.00000,0.00000,0.00000,1,0,1,1785933915,1,0.072323,0.026726,-0.115578,0.100737,0.036127,0.206774,0.410815,0.000000,0.077861,-0.992989,0.088941,0.097949,-0.800655,0.591065,Stance,Swing,0.000000,0.000000
82,6.007499,0.005760,0.14180,0.91720,0.50000,1.00000,0.00000,0.00000,1,0,1,1785933915,1,0.075385,0.026769,-0.116243,0.098715,0.032814,0.199705,0.413913,0.000000,0.089285,-0.992965,0.077777,0.092991,-0.813096,0.574655,Stance,Swing,0.000000,0.000000
83,6.026636,0.006303,0.19456,0.88961,0.50000,1.00000,0.00000,0.00000,1,0,1,1785933915,1,0.078928,0.027216,-0.118050,0.097796,0.029586,0.190589,0.419327,0.000000,0.104192,-0.992456,0.064618,0.089611,-0.825289,0.557555,Stance,Swing,0.000000,0.000000
84,6.049006,0.006847,0.26199,0.86194,0.50000,1.00000,0.00000,0.00000,1,0,1,1785933915,1,0.083046,0.027636,-0.118893,0.097187,0.025395,0.181440,0.428538,0.000000,0.126199,-0.990770,0.049484,0.085682,-0.837433,0.539782,Stance,Swing,0.000000,0.000000
85,6.067080,0.005754,0.32091,0.84410,0.50000,1.00000,0.00000,0.00000,1,0,1,1785933915,1,0.086337,0.027026,-0.120204,0.096342,0.023719,0.174769,0.441082,0.000000,0.141737,-0.989306,0.034425,0.082748,-0.847195,0.524799,Stance,Swing,0.000000,0.000000
86,6.091964,0.007282,0.41531,0.82690,0.50000,1.00000,0.00000,0.00000,1,0,1,1785933915,1,0.090856,0.028117,-0.123889,0.100513,0.020055,0.160855,0.460060,0.000000,0.174080,-0.984716,0.005584,0.093871,-0.865151,0.492648,Stance,Swing,0.000000,0.000000
